lat_lon,flag_gfw,lat,lon,fishing_hours
-1.0_159.0,JPN,-1.0,159.0,15.493214285714286
-1.0_159.0,KOR,-1.0,159.0,85.42373333333335
-1.0_159.0,TWN,-1.0,159.0,597.1044444444445
-1.0_159.0,VUT,-1.0,159.0,5.01
-1.0_160.0,CHN,-1.0,160.0,57.32181666666667
-1.0_160.0,IND,-1.0,160.0,1.1235
-1.0_160.0,JPN,-1.0,160.0,8.95822
-1.0_160.0,KOR,-1.0,160.0,121.2438285714286
-1.0_160.0,TWN,-1.0,160.0,595.9015777777777
-1.0_160.0,VUT,-1.0,160.0,33.61409999999999
-1.0_161.0,CHN,-1.0,161.0,143.93380000000002
-1.0_161.0,FSM,-1.0,161.0,10.718866666666665
-1.0_161.0,IND,-1.0,161.0,62.63159999999999
-1.0_161.0,JPN,-1.0,161.0,72.58684999999998
-1.0_161.0,KOR,-1.0,161.0,528.3608666666668
-1.0_161.0,TWN,-1.0,161.0,766.6003555555549
-1.0_161.0,VUT,-1.0,161.0,3.2559
-1.0_162.0,CHN,-1.0,162.0,230.42314285714278
-1.0_162.0,FJI,-1.0,162.0,13.169633333333337
-1.0_162.0,FSM,-1.0,162.0,7.944866666666666
-1.0_162.0,IND,-1.0,162.0,39.2208
-1.0_162.0,JPN,-1.0,162.0,114.83168000000003
-1.0_162.0,KOR,-1.0,162.0,777.9589999999998
-1.0_162.0,TWN,-1.0,162.0,1354.0021888888893
-1.0_162.0,VUT,-1.0,162.0,44.68615
-1.0_163.0,CHN,-1.0,163.0,133.83284285714288
-1.0_163.0,FJI,-1.0,163.0,52.880900000000004
-1.0_163.0,FSM,-1.0,163.0,3.2817999999999996
-1.0_163.0,JPN,-1.0,163.0,129.27066666666664
-1.0_163.0,KOR,-1.0,163.0,693.2358000000002
-1.0_163.0,MDV,-1.0,163.0,10.7227
-1.0_163.0,TWN,-1.0,163.0,1061.800944444445
-1.0_163.0,VUT,-1.0,163.0,37.43755
-1.0_164.0,CHN,-1.0,164.0,0.6755
-1.0_164.0,FJI,-1.0,164.0,0.6563
-1.0_164.0,JPN,-1.0,164.0,68.73903999999996
-1.0_164.0,KOR,-1.0,164.0,9.11432857142857
-1.0_164.0,TWN,-1.0,164.0,20.57658
-1.0_164.0,VUT,-1.0,164.0,1.7693
-1.0_165.0,JPN,-1.0,165.0,76.1728
-1.0_166.0,CHN,-1.0,166.0,22.886100000000003
-1.0_166.0,JPN,-1.0,166.0,13.15305
-1.0_166.0,NRU,-1.0,166.0,3.4221
-1.0_167.0,CHN,-1.0,167.0,10.8674
-1.0_167.0,JPN,-1.0,167.0,5.2893
-1.0_167.0,NRU,-1.0,167.0,3.7805
-1.0_168.0,CHN,-1.0,168.0,10.989799999999999
-1.0_168.0,KOR,-1.0,168.0,39.48312000000001
-1.0_168.0,NRU,-1.0,168.0,0.1505
-1.0_169.0,CHN,-1.0,169.0,113.2363
-1.0_169.0,KOR,-1.0,169.0,267.13768000000005
-1.0_170.0,CHN,-1.0,170.0,101.79466666666666
-1.0_170.0,FJI,-1.0,170.0,3.4832
-1.0_170.0,KOR,-1.0,170.0,392.14846000000006
-1.0_171.0,CHN,-1.0,171.0,185.2951333333334
-1.0_171.0,KIR,-1.0,171.0,55.4354
-1.0_171.0,KOR,-1.0,171.0,591.63522
-1.0_171.0,MDV,-1.0,171.0,49.122800000000005
-1.0_172.0,CHN,-1.0,172.0,407.67484285714335
-1.0_172.0,FJI,-1.0,172.0,78.29189999999998
-1.0_172.0,KIR,-1.0,172.0,59.16505
-1.0_172.0,KOR,-1.0,172.0,1003.4290999999996
-1.0_173.0,CHN,-1.0,173.0,434.56277142857147
-1.0_173.0,COK,-1.0,173.0,8.962299999999999
-1.0_173.0,FJI,-1.0,173.0,41.64103333333333
-1.0_173.0,JPN,-1.0,173.0,1.0005
-1.0_173.0,KIR,-1.0,173.0,50.7217
-1.0_173.0,KOR,-1.0,173.0,933.4014599999991
-1.0_173.0,MDV,-1.0,173.0,10.5761
-1.0_173.0,TWN,-1.0,173.0,21.4509
-1.0_174.0,CHN,-1.0,174.0,354.52428333333336
-1.0_174.0,COK,-1.0,174.0,55.47460000000001
-1.0_174.0,FJI,-1.0,174.0,11.505199999999999
-1.0_174.0,JPN,-1.0,174.0,11.662800000000002
-1.0_174.0,KIR,-1.0,174.0,4.9543
-1.0_174.0,KOR,-1.0,174.0,679.7296800000001
-1.0_174.0,MDV,-1.0,174.0,0.1083
-1.0_175.0,CHN,-1.0,175.0,151.19824
-1.0_175.0,FJI,-1.0,175.0,11.611749999999999
-1.0_175.0,KOR,-1.0,175.0,142.47636666666665
-1.0_176.0,CHN,-1.0,176.0,150.88914999999997
-1.0_176.0,FJI,-1.0,176.0,26.049599999999998
-1.0_176.0,KOR,-1.0,176.0,306.6687499999999
-1.0_176.0,TWN,-1.0,176.0,5.420999999999999
-1.0_177.0,CHN,-1.0,177.0,381.01356666666675
-1.0_177.0,COK,-1.0,177.0,1.5088
-1.0_177.0,FJI,-1.0,177.0,12.0739
-1.0_177.0,JPN,-1.0,177.0,10.785699999999999
-1.0_177.0,KIR,-1.0,177.0,9.1609
-1.0_177.0,KOR,-1.0,177.0,638.5786833333335
-1.0_177.0,NRU,-1.0,177.0,0.2027
-1.0_177.0,TWN,-1.0,177.0,99.89266666666664
-1.0_178.0,CHN,-1.0,178.0,321.50295
-1.0_178.0,FJI,-1.0,178.0,66.8344
-1.0_178.0,JPN,-1.0,178.0,11.9326
-1.0_178.0,KOR,-1.0,178.0,516.1774333333332
-1.0_178.0,MDV,-1.0,178.0,32.468199999999996
-1.0_178.0,NRU,-1.0,178.0,4.5551
-1.0_178.0,TWN,-1.0,178.0,242.30620000000002
-1.0_179.0,CHN,-1.0,179.0,38.050250000000005
-1.0_179.0,COK,-1.0,179.0,45.288500000000006
-1.0_179.0,KOR,-1.0,179.0,480.4049285714286
-1.0_179.0,MDV,-1.0,179.0,42.70093333333333
-1.0_179.0,NRU,-1.0,179.0,8.0875
-1.0_179.0,TUV,-1.0,179.0,6.4507
-1.0_179.0,TWN,-1.0,179.0,90.99629999999999
-1.0_180.0,CHN,-1.0,180.0,52.18993333333333
-1.0_180.0,COK,-1.0,180.0,7.8918
-1.0_180.0,FJI,-1.0,180.0,51.27449999999999
-1.0_180.0,KOR,-1.0,180.0,529.0341
-1.0_180.0,MDV,-1.0,180.0,19.3385
-1.0_180.0,NRU,-1.0,180.0,1.7852
-1.0_180.0,TWN,-1.0,180.0,135.091275
-1.0_181.0,CHN,-1.0,181.0,1.7377
-1.0_181.0,FJI,-1.0,181.0,11.5055
-1.0_181.0,KOR,-1.0,181.0,5.94084
-1.0_181.0,TWN,-1.0,181.0,1.9847666666666666
-1.0_185.0,KOR,-1.0,185.0,20.437133333333335
-1.0_186.0,FJI,-1.0,186.0,1.7502
-1.0_186.0,KOR,-1.0,186.0,354.6187
-1.0_187.0,CHN,-1.0,187.0,44.9358
-1.0_187.0,KOR,-1.0,187.0,336.4403500000001
-1.0_188.0,CHN,-1.0,188.0,80.1976
-1.0_188.0,KOR,-1.0,188.0,320.4246400000002
-1.0_189.0,CHN,-1.0,189.0,0.9908
-1.0_189.0,KOR,-1.0,189.0,351.4717400000001
-1.0_189.0,USA,-1.0,189.0,55.77649999999999
-1.0_190.0,CHN,-1.0,190.0,79.4125
-1.0_190.0,KOR,-1.0,190.0,467.2116
-1.0_190.0,TWN,-1.0,190.0,11.120000000000001
-1.0_190.0,USA,-1.0,190.0,8.38
-1.0_191.0,CHN,-1.0,191.0,80.6749
-1.0_191.0,FJI,-1.0,191.0,16.23955
-1.0_191.0,KOR,-1.0,191.0,558.2596500000002
-1.0_191.0,MDV,-1.0,191.0,39.044799999999995
-1.0_191.0,TWN,-1.0,191.0,16.0527
-1.0_191.0,VUT,-1.0,191.0,112.1672
-1.0_192.0,CHN,-1.0,192.0,322.49540000000013
-1.0_192.0,FJI,-1.0,192.0,82.63960000000002
-1.0_192.0,KOR,-1.0,192.0,1093.661255555556
-1.0_192.0,MDV,-1.0,192.0,23.087899999999998
-1.0_192.0,TWN,-1.0,192.0,153.87434444444443
-1.0_192.0,VUT,-1.0,192.0,118.85588333333332
-1.0_193.0,CHN,-1.0,193.0,613.9835428571427
-1.0_193.0,FJI,-1.0,193.0,8.741800000000001
-1.0_193.0,JPN,-1.0,193.0,1.9086
-1.0_193.0,KOR,-1.0,193.0,1004.1196333333341
-1.0_193.0,MDV,-1.0,193.0,171.51010000000005
-1.0_193.0,TWN,-1.0,193.0,514.0145222222221
-1.0_193.0,VUT,-1.0,193.0,106.05932857142857
-1.0_194.0,CHN,-1.0,194.0,604.6315000000001
-1.0_194.0,FJI,-1.0,194.0,85.18000000000002
-1.0_194.0,KOR,-1.0,194.0,628.643311111111
-1.0_194.0,MDV,-1.0,194.0,21.678
-1.0_194.0,TWN,-1.0,194.0,478.62911249999996
-1.0_194.0,USA,-1.0,194.0,7.1791
-1.0_194.0,VUT,-1.0,194.0,99.14321999999999
-1.0_195.0,CHN,-1.0,195.0,542.612542857143
-1.0_195.0,FJI,-1.0,195.0,63.02585
-1.0_195.0,KOR,-1.0,195.0,597.4386222222222
-1.0_195.0,MDV,-1.0,195.0,20.9015
-1.0_195.0,TWN,-1.0,195.0,332.2845111111112
-1.0_195.0,VUT,-1.0,195.0,106.40589999999997
-1.0_196.0,CHN,-1.0,196.0,247.0209428571427
-1.0_196.0,FJI,-1.0,196.0,5.4404
-1.0_196.0,KOR,-1.0,196.0,397.7227444444444
-1.0_196.0,MDV,-1.0,196.0,10.619
-1.0_196.0,TWN,-1.0,196.0,317.2661428571428
-1.0_196.0,VUT,-1.0,196.0,40.2053
-1.0_197.0,CHN,-1.0,197.0,19.0247
-1.0_197.0,KOR,-1.0,197.0,27.21813333333333
-1.0_197.0,TWN,-1.0,197.0,13.05875
-1.0_2.0,BLZ,-1.0,2.0,6.7843
-1.0_2.0,CHN,-1.0,2.0,23.183000000000003
-1.0_2.0,ESP,-1.0,2.0,348.9534222222221
-1.0_2.0,JPN,-1.0,2.0,63.65734999999999
-1.0_2.0,PRT,-1.0,2.0,111.27375999999997
-1.0_2.0,SEN,-1.0,2.0,77.9146
-1.0_2.0,TWN,-1.0,2.0,521.9949749999997
-1.0_203.0,CHN,-1.0,203.0,178.7906
-1.0_203.0,KOR,-1.0,203.0,221.6764833333333
-1.0_203.0,TWN,-1.0,203.0,80.41450000000002
-1.0_203.0,VUT,-1.0,203.0,152.2847
-1.0_204.0,CHN,-1.0,204.0,248.24058571428563
-1.0_204.0,FJI,-1.0,204.0,3.4238
-1.0_204.0,KOR,-1.0,204.0,424.00983333333346
-1.0_204.0,TWN,-1.0,204.0,71.39755000000001
-1.0_204.0,VUT,-1.0,204.0,71.71336666666666
-1.0_205.0,CHN,-1.0,205.0,174.71802499999995
-1.0_205.0,KOR,-1.0,205.0,286.81831666666665
-1.0_205.0,TWN,-1.0,205.0,195.69955
-1.0_205.0,VUT,-1.0,205.0,63.76755
-1.0_206.0,CHN,-1.0,206.0,142.99229999999997
-1.0_206.0,KOR,-1.0,206.0,150.7602285714286
-1.0_206.0,TWN,-1.0,206.0,122.89246666666666
-1.0_206.0,VUT,-1.0,206.0,19.0856
-1.0_207.0,CHN,-1.0,207.0,116.40608749999998
-1.0_207.0,JPN,-1.0,207.0,39.147200000000005
-1.0_207.0,KOR,-1.0,207.0,135.32094444444442
-1.0_207.0,TWN,-1.0,207.0,81.47655999999999
-1.0_207.0,VUT,-1.0,207.0,47.032999999999994
-1.0_208.0,CHN,-1.0,208.0,179.32342857142856
-1.0_208.0,JPN,-1.0,208.0,139.80850000000004
-1.0_208.0,KOR,-1.0,208.0,276.25364444444443
-1.0_208.0,TWN,-1.0,208.0,158.761
-1.0_208.0,VUT,-1.0,208.0,92.2972
-1.0_209.0,CHN,-1.0,209.0,270.1049285714285
-1.0_209.0,JPN,-1.0,209.0,38.671850000000006
-1.0_209.0,KOR,-1.0,209.0,292.8000888888888
-1.0_209.0,TWN,-1.0,209.0,248.59347142857146
-1.0_209.0,VUT,-1.0,209.0,118.81931666666668
-1.0_210.0,CHN,-1.0,210.0,193.83706250000006
-1.0_210.0,JPN,-1.0,210.0,158.75304999999994
-1.0_210.0,KOR,-1.0,210.0,249.15792222222223
-1.0_210.0,TWN,-1.0,210.0,359.11209999999994
-1.0_210.0,VUT,-1.0,210.0,83.41081999999999
-1.0_211.0,CHN,-1.0,211.0,251.43692857142855
-1.0_211.0,JPN,-1.0,211.0,165.1668
-1.0_211.0,KOR,-1.0,211.0,204.01178888888887
-1.0_211.0,TWN,-1.0,211.0,404.9633142857142
-1.0_211.0,VUT,-1.0,211.0,90.79710000000004
-1.0_212.0,CHN,-1.0,212.0,327.3773999999998
-1.0_212.0,JPN,-1.0,212.0,241.5813
-1.0_212.0,KOR,-1.0,212.0,183.01086666666663
-1.0_212.0,TWN,-1.0,212.0,203.67204285714283
-1.0_212.0,VUT,-1.0,212.0,90.30728333333332
-1.0_213.0,CHN,-1.0,213.0,152.61448571428568
-1.0_213.0,JPN,-1.0,213.0,64.58370000000001
-1.0_213.0,KOR,-1.0,213.0,263.47667499999994
-1.0_213.0,TWN,-1.0,213.0,240.64442857142853
-1.0_213.0,VUT,-1.0,213.0,75.32267500000003
-1.0_214.0,CHN,-1.0,214.0,201.05355999999998
-1.0_214.0,JPN,-1.0,214.0,33.8214
-1.0_214.0,KOR,-1.0,214.0,178.48354444444445
-1.0_214.0,TWN,-1.0,214.0,268.8606666666667
-1.0_214.0,VUT,-1.0,214.0,72.53217500000002
-1.0_215.0,CHN,-1.0,215.0,152.89776
-1.0_215.0,JPN,-1.0,215.0,10.05395
-1.0_215.0,KOR,-1.0,215.0,146.231
-1.0_215.0,SLV,-1.0,215.0,0.9468
-1.0_215.0,TWN,-1.0,215.0,210.66655000000003
-1.0_215.0,USA,-1.0,215.0,1.7374
-1.0_215.0,VUT,-1.0,215.0,84.95025000000001
-1.0_216.0,CHN,-1.0,216.0,168.81070000000003
-1.0_216.0,KOR,-1.0,216.0,84.47085555555554
-1.0_216.0,TWN,-1.0,216.0,122.47431666666667
-1.0_216.0,VUT,-1.0,216.0,51.45826666666667
-1.0_217.0,CHN,-1.0,217.0,105.56375
-1.0_217.0,JPN,-1.0,217.0,14.4327
-1.0_217.0,KOR,-1.0,217.0,48.69343333333333
-1.0_217.0,TWN,-1.0,217.0,111.63285
-1.0_217.0,VUT,-1.0,217.0,43.71109999999999
-1.0_218.0,CHN,-1.0,218.0,88.74197500000002
-1.0_218.0,JPN,-1.0,218.0,3.6997999999999998
-1.0_218.0,KOR,-1.0,218.0,41.05142222222222
-1.0_218.0,SLV,-1.0,218.0,7.1068999999999996
-1.0_218.0,TWN,-1.0,218.0,168.06740000000005
-1.0_218.0,VUT,-1.0,218.0,30.069066666666668
-1.0_219.0,CHN,-1.0,219.0,82.85817500000002
-1.0_219.0,JPN,-1.0,219.0,5.6063
-1.0_219.0,KOR,-1.0,219.0,85.10452500000001
-1.0_219.0,TWN,-1.0,219.0,145.31171666666663
-1.0_219.0,VUT,-1.0,219.0,25.680333333333333
-1.0_220.0,CHN,-1.0,220.0,143.12136666666666
-1.0_220.0,JPN,-1.0,220.0,9.76275
-1.0_220.0,KOR,-1.0,220.0,126.95444444444443
-1.0_220.0,SLV,-1.0,220.0,0.4677
-1.0_220.0,TWN,-1.0,220.0,72.3409
-1.0_220.0,USA,-1.0,220.0,5.1108
-1.0_220.0,VUT,-1.0,220.0,29.4555
-1.0_221.0,CHN,-1.0,221.0,60.72163333333334
-1.0_221.0,JPN,-1.0,221.0,7.744924999999999
-1.0_221.0,KOR,-1.0,221.0,94.75401111111111
-1.0_221.0,SLV,-1.0,221.0,8.2612
-1.0_221.0,TWN,-1.0,221.0,52.785828571428574
-1.0_221.0,VUT,-1.0,221.0,7.05955
-1.0_222.0,CHN,-1.0,222.0,88.73005
-1.0_222.0,JPN,-1.0,222.0,5.9933
-1.0_222.0,KOR,-1.0,222.0,60.75117777777776
-1.0_222.0,SLV,-1.0,222.0,3.2854
-1.0_222.0,TWN,-1.0,222.0,63.80105714285714
-1.0_222.0,VUT,-1.0,222.0,14.2695
-1.0_223.0,CHN,-1.0,223.0,54.54496
-1.0_223.0,JPN,-1.0,223.0,9.538549999999999
-1.0_223.0,KOR,-1.0,223.0,86.806675
-1.0_223.0,TWN,-1.0,223.0,84.61478571428572
-1.0_223.0,VUT,-1.0,223.0,8.129150000000001
-1.0_224.0,CHN,-1.0,224.0,26.3881
-1.0_224.0,JPN,-1.0,224.0,27.33045
-1.0_224.0,KOR,-1.0,224.0,144.05636666666663
-1.0_224.0,SLV,-1.0,224.0,1.1074000000000002
-1.0_224.0,TWN,-1.0,224.0,124.33197142857145
-1.0_224.0,VUT,-1.0,224.0,87.65749999999998
-1.0_225.0,CHN,-1.0,225.0,28.573900000000002
-1.0_225.0,JPN,-1.0,225.0,12.895375000000001
-1.0_225.0,KOR,-1.0,225.0,102.89526250000002
-1.0_225.0,TWN,-1.0,225.0,151.2267
-1.0_225.0,VUT,-1.0,225.0,38.80749999999999
-1.0_226.0,CHN,-1.0,226.0,12.3606
-1.0_226.0,JPN,-1.0,226.0,15.160400000000001
-1.0_226.0,KOR,-1.0,226.0,141.04299999999998
-1.0_226.0,SLV,-1.0,226.0,1.9483
-1.0_226.0,TWN,-1.0,226.0,199.59596249999998
-1.0_226.0,VUT,-1.0,226.0,62.401
-1.0_227.0,CHN,-1.0,227.0,38.51792500000001
-1.0_227.0,JPN,-1.0,227.0,16.072699999999998
-1.0_227.0,KOR,-1.0,227.0,94.91750000000003
-1.0_227.0,TWN,-1.0,227.0,213.33758749999996
-1.0_227.0,VUT,-1.0,227.0,48.21190000000001
-1.0_228.0,CHN,-1.0,228.0,81.84443333333331
-1.0_228.0,JPN,-1.0,228.0,6.6517333333333335
-1.0_228.0,KOR,-1.0,228.0,154.8737
-1.0_228.0,SLV,-1.0,228.0,6.8878
-1.0_228.0,TWN,-1.0,228.0,164.40242500000005
-1.0_228.0,VUT,-1.0,228.0,117.6864
-1.0_229.0,CHN,-1.0,229.0,58.8324
-1.0_229.0,JPN,-1.0,229.0,21.31445
-1.0_229.0,KOR,-1.0,229.0,92.71793333333333
-1.0_229.0,TWN,-1.0,229.0,199.59255
-1.0_229.0,VUT,-1.0,229.0,10.709299999999999
-1.0_230.0,CHN,-1.0,230.0,62.702059999999996
-1.0_230.0,JPN,-1.0,230.0,1.5838
-1.0_230.0,KOR,-1.0,230.0,42.09310000000001
-1.0_230.0,SLV,-1.0,230.0,10.9117
-1.0_230.0,TWN,-1.0,230.0,179.42294999999993
-1.0_231.0,CHN,-1.0,231.0,83.79488
-1.0_231.0,JPN,-1.0,231.0,1.828
-1.0_231.0,KOR,-1.0,231.0,69.266825
-1.0_231.0,SLV,-1.0,231.0,0.1958
-1.0_231.0,TWN,-1.0,231.0,262.2775
-1.0_232.0,CHN,-1.0,232.0,139.68225
-1.0_232.0,FJI,-1.0,232.0,22.8754
-1.0_232.0,KOR,-1.0,232.0,65.32660000000003
-1.0_232.0,SLV,-1.0,232.0,68.69369999999999
-1.0_232.0,TWN,-1.0,232.0,217.02856666666676
-1.0_233.0,CHN,-1.0,233.0,152.08782
-1.0_233.0,FJI,-1.0,233.0,47.637800000000006
-1.0_233.0,KOR,-1.0,233.0,54.66543333333333
-1.0_233.0,SLV,-1.0,233.0,10.5481
-1.0_233.0,TWN,-1.0,233.0,530.5500999999999
-1.0_234.0,CHN,-1.0,234.0,159.38834999999997
-1.0_234.0,FJI,-1.0,234.0,33.7016
-1.0_234.0,JPN,-1.0,234.0,7.74795
-1.0_234.0,KOR,-1.0,234.0,103.02023333333334
